path,sentence,15_/checkpoint-13600,classla/wav2vec2-xls-r-sabor-hr,16_/checkpoint-3600
/home/peterr/macocu/task6_speech/data/00020254b.flac.wav,se čuje budući da je kolega zastupnik stazić u nekoliko navrata ponovio,čuje budući je kolega zastupnik staziću nekoliko  navrata ponovio,o se čuje budući je kolega zastupnik staziću nekoliko  navrata ponovio,se čuje budući je kolega zastupnik staziću nekoliko navrata ponovio
/home/peterr/macocu/task6_speech/data/00020254c.flac.wav,da su samo zastupnici hadezea koji su bili jedan dan ovdje u sabornici i dandanas ostvaruju povlaštenu mirovinu,da su samo zastupnici hadezea koji su bili jedan dan ovdje u sabornici i dan danas ostvarujupovaštenu mirovinu,ida su samo zastupnici hvadezea koji su bili jedan dan ovdje u sabornici i dan danas ostvaruju povlaštenu mirovinu,da su samo zastupnici hadezea koji su bili jedan dan ovdje u sabornici i dan danas ostvaruju povlaštenu mirovinu
/home/peterr/macocu/task6_speech/data/00020255a.flac.wav,želim glasno izgovoriti da su svi zastupnici koji su u to vrijeme sjedili u ovoj sabornici pa tako i,želim glasne odgovoriti da su svi zastupnici koji su  to vrijeme sjedili u ovoj sabornici pa tako,želim glasnegovoriti da su svi zastupnici koji su u to vrijeme sjedili u ovoj sabornici pa tako iatup,želim glas nes govoriti da su svi zastupnici koji su u to vrijeme sjedili u ovoj sabornici pa tako
/home/peterr/macocu/task6_speech/data/00020255b.flac.wav,esdepea isto tako ostvarili te povlaštene mirovine i ostvaruju ih i dandanas,esdepea isto takoostvarilite povlaštene mirovine i ostvaruih i dan danas,ie edepea isto tako ostvarujte povlaštene mirovine i ostvarujih i dan danas,esdepea isto tako ostvarilite povlaštene mirovine i ostvaruju ih i dan danas
/home/peterr/macocu/task6_speech/data/00020256a.flac.wav,također sam htjela replicirati ali je to kolega borić već iskomunicirao vezano na različitu,također sam htjela replicirati jeli je to kolega borić već iz komunicirao vezano na različito,takoder sam  htjela replicirati ali je tokolega borić već izkomunicirao vezano na različito,također sam htjela replicirati jel je to kolega borić već iskomunicirao vezano na različito
/home/peterr/macocu/task6_speech/data/00020256b.flac.wav,različitu raspravu kolege mrsića i kolege stazića jer se oni očito nisu dogovorili koliko će to branitelji i ostale,različitu raspravu kolege mrsića i kolege stazića jeli se oni očito nisu dogovorili koliko će to branitelji i ostalo,različitu raspravu kolege mrsića i kolege stazića jeli se oni očito nisu dogovorili koliko oće to branitelji i ostalo,različitu raspravu kolege mrsića i kolege stazića ali se oni očito nisu dogovorili koliko će to branitelji i ostale
/home/peterr/macocu/task6_speech/data/00020256c.flac.wav,povlaštene mirovine odnosno kategorije dobiti promjenom ovog propisa,povlaštene mirovine odnosno kategorije dobiti promjenom ovog propisa,povlaštene mirovine odnosno kategorije e dobiti promjenom ovog propisa,povlaštene mirovine odnosno kategorije dobiti promjenom ovog propisa
/home/peterr/macocu/task6_speech/data/00020257a.flac.wav,ono što želim reći žalosno je da uvijek kada govorite,ono što želim reći žalosno je da uvijek kada govorite,ono što želim reći žalosno je da uvijek kada govorite,ono što želim reći žalosno je da uvijek kada govorite
/home/peterr/macocu/task6_speech/data/00020257b.flac.wav,o neravnoteži mirovina uspoređujete i glavni adut su vam braniteljske mirovine,a neravno težih mirovina uspoređujete i glavni a do su vam braniteljske mirovine,ao neravno teži mirovine usporedujete i glavni ato su vam braniteljske mirovine,ekoo neravno teži mirovine uspoređujete i glavni aducu vam braniteljske mirovine
/home/peterr/macocu/task6_speech/data/00020258a.flac.wav,naravno da su braniteljske mirovine veće od ostalih mirovina i ne kažem da su radničke mirovine onolike,naravno da su braniteljske mirovine veće od ostalih mirovina i ne kažem da su radničke mirovine,naavno da su braniteljske mirovine veće od ostalih mirovina i ne kažem da su  radničke mirovineonolike,naravno da su braniteljske mirovine već od ostalih mirovina i ne kažem da su radničke mirovine
/home/peterr/macocu/task6_speech/data/00020258b.flac.wav,kolike bi trebale biti s obzirom na skup život odnosno s obzirom na sve ekonomske cijene koje imamo,lke bi trebale biti obzirom na skup život odnosno obzirom na sve ekonomske cijene koje imamo,olike bi trebale biti obzirom na skup život odnosno obzirom na sve ekonomske cijene koje imamo,bi trebale biti obzirom na skup život odnosno obzirom na sve ekonomske cijene koje imamo
/home/peterr/macocu/task6_speech/data/00020259a.flac.wav,ali braniteljske mirovine su posebna kategorija,ali braniteljske mirovine su posebna kategorija,ali braniteljske mirovine su posebna kategorija,ali braniteljske mirovine su posebna kategorija
/home/peterr/macocu/task6_speech/data/00020259b.flac.wav,ne bismo ih nikad trebali dovoditi u pitanje upravo zato što su branitelji ti koji su omogućili da danas svi zajedno ovdje sjedimo,ne bismo ih nikada trebali dovoditi u pitanje upravo zato što su obranitelji ti koji su omogućili da danas vi zajedno ovdje sjedimo,nebi smo ih nikad trebali dovoditi u pitanje upravo zato što subranitelji ti koji su omogućili da danas svi zajedno ovdje sjedimo,ne bismo ih nikad trebali dovoditi u pitanje upravo zato što su branitelji ti koji su omogućili da danas svi zajedno ovdje sjedimo
/home/peterr/macocu/task6_speech/data/00020260.flac.wav,branitelji koji su ostali invalidi koji su većina od njih jedini hranitelji obitelji ,telji koji su ostali invalidi koji su većina od njih jedini hranitelji u obitelji,raditelji koji su ostali invalidi koji su većina od njih jedinih ranitelji obitelji,ranitelji koji su ostali invalidi koji su većina od njih jedini hranitelji u obitelji
/home/peterr/macocu/task6_speech/data/00020261.flac.wav,mislim da nije u redu da se stalno povlače njihove mirovine ,mislim da nije u redu da se stalno povlače njihove mirovine,jim da nije u redu da se stalno povlače njihove mirovine,vi ilim da nije u redu da se stalno povlače njihove mirovine
/home/peterr/macocu/task6_speech/data/00020262.flac.wav,ispada da su oni branili domovinu samo radi mirovina što nije tako i što nije točno ,ispada da su oni branili domovinu samo radi mirovina što nije tako i što nije točno,ispoda da su oni branili domovinu samo radi mirovina što nije tako i što nije točno,ispada da su oni branili domovinu samo radi mirovina što nije tako i što nije točno
/home/peterr/macocu/task6_speech/data/00020263.flac.wav,nemojmo biti licemjerni ,nemojmo biti licemjerni,nemojmo biti licemjerni,nemojmo biti licemjerni hvala
/home/peterr/macocu/task6_speech/data/00020264.flac.wav,odgovor na repliku zastupnik stazić ,odgovo na repliku zastupnik stazić,odovor narepliku zastupnik stazić,odgovor na repliku zastupnik stazić
/home/peterr/macocu/task6_speech/data/00020265.flac.wav,evo zašto sad spominjem zastupnike hadezea ,evo zašto sada spominjem zastupnike hadezea,evo zašto sada spominjem zastupnike hadezea,evo zašto sad spominjem zastupnike hadezea
/home/peterr/macocu/task6_speech/data/00020266.flac.wav,prvo jer je takav zakon donio hadeze ,prvo jer je takav zakon donio hadeze,prmo jer je takav zakon donio hadeze,prvo jer je takav zakon donio hadeze
/home/peterr/macocu/task6_speech/data/00020267.flac.wav,i drugo zbog toga što nijedan zastupnik esdepea nije ovdje zamijenjen na jedan dan da bi otišao u mirovinu na jedan dan ,drugo zbog toga što nijedan zastupnik esdepea nije ovdje zamijenjen na jedan dan da bi otišaou mirovjinu na jedan dan,i drugo zbog toga što nijedan zastupnik esdepea nije ovdje zamijenjen na jedan dan da bi otišaou mirovinu na jedan dan,drugo zbog toga što nijedan zastupnik esdepea nije ovdje zamijenjen na jedan dan da bi otišo umirovinu na jedan dan
/home/peterr/macocu/task6_speech/data/00020268.flac.wav,to su radili hadezeovci a šta im ja mogu radili ste to ,sradili hadezeovcea šta im ja mogu radili ste to,su radili hadezeovse a što im ja mogu radili ste to,vi su radili hadezeovce a šta im ja mogu radili ste to
/home/peterr/macocu/task6_speech/data/00020269.flac.wav,ne vi kolegice ali u onome mandatu kad su to mogli ,ne vi kolegice ali u onome mandatu kada su to mogli,ne vi kolegice ali u onome mandatu kada su to mogli,ne vi kolegice ali u onome mandatu kad su to mogli
/home/peterr/macocu/task6_speech/data/00020270.flac.wav,tko kažete da netko dovodi u pitanje mirovine branitelja tko je to doveo u pitanje mirovine branitelja ,tko kažete da netko dovodi u pitanje mirovine branitelja kojie tooveo u pitanjem mirovine branitelja,tko kažete da netko dovodi u pitanje mirovine branitelja koje to dobe u pitanje mirovine branitelja,tko kažete da netko dovodi u pitanje mirovine branitelja tko je to dovio u pitanje mirovine branitelja
/home/peterr/macocu/task6_speech/data/00020271.flac.wav,jesam li ja to napravio u svom izlaganju ,jaa to napravio u svom izlaganju,ja to napravio u svom izlaganju,ja to napravio u svom izlaganju
/home/peterr/macocu/task6_speech/data/00020272a.flac.wav,rekao sam da država radi i mora raditi to da socijalno zaštiti,rekao sam da država radi i mora raditi to da socijalno zaštiti,rekao sam da država radi i mora raditi to da socijalno zaštiti,rekao sam da država radi i mora raditi to da socijalno zaštiti
/home/peterr/macocu/task6_speech/data/00020272b.flac.wav,one koji su pogotovo one koji su dali zdravlje u toj borbi u tom ratu,koji su pogotovo one koje su zdali zdravlje u toj borbi u tom,e koji su pogotovo one koji su zdali zdravlje u toj borbi u tom ratu,koji su pogotovo one koji su zdali zdravlje u toj borbi u tome ratu
/home/peterr/macocu/task6_speech/data/00020273.flac.wav,jer su nesposobni za rad jer su izgubili ekstremitete ,jer su nesposobni za rad jer su izgubili ekstremitete,jer su nesposobni za rad jer su izgubili ekstremitete,jer su nesposobni za rad jer su izgubili ekstremitete
/home/peterr/macocu/task6_speech/data/00020274.flac.wav,pa šta ćemo ih ostaviti na ulici to sam rekao ,ja će jiostaviti na ulici to sam rekalo,a e ostaviti na ulici to sam rekao,pao ćemo ih ostaviti na ulici to sam rekao
/home/peterr/macocu/task6_speech/data/00020275.flac.wav,i to država može po ovom zakonu raditi i efikasnije nego sada po ovim izmjenama ,održava može po ovom zakonu raditi i efikasnije nego sada po ovim izmjenama,o drava može po ovom zakonu raditi i jeikasnije nego sada poovim izmjenama,toa država može po ovom zakonu raditi i efikasnije nego sada po ovim izmjenama
/home/peterr/macocu/task6_speech/data/00020276a.flac.wav,a ako neće kao što vidimo da neće i ne želi nego ih trpamo sa svim ostalima,a ako neće kao što vidimo da neće i ne želi nego i trpamo sa svim ostalima,aako neće kao što vidimo da neće i ne želi nego ih trpamo sa svim ostalima,a ako neće kao što vidimo da neće i ne želi nego ih trpamo sa svim ostalima
/home/peterr/macocu/task6_speech/data/00020276b.flac.wav,a onda to recite to priznajte ali nemojte molim vas obmanjivati javnost netočnim izjavama,anda to recitea to priznajite a nemojte molim vas obanjivati javnost netočnim izjavama,a onda to recite to prisnajite ali nemojte molimvas ubanjivati javnost netočni mizijava,pa onda to recite to priznajte ali nemojte molim vas obanjivati javnosti netočnim izjavama
/home/peterr/macocu/task6_speech/data/00020277.flac.wav,jer to što ste vi rekli apsolutno je netočno od prve do zadnje riječi ,to što ste vi rekli ali je apsolutno ne točno od prve do zadnje riječ,za to što ste vi rekli ali je apsolutno netočno od prve to zadnje riječi,to što ste vi rekli ali je apsolutno netočno od prve do zadnje riječi
/home/peterr/macocu/task6_speech/data/00020278.flac.wav,zastupnik ivan kirin javio se za repliku ,zastupnik ivan kirin javio se za repliku,zastupnik ivan kirin javio se za repliku,zastupnik ivan kirin javio se za repliku
/home/peterr/macocu/task6_speech/data/00020279.flac.wav,poštovani predsjedniče sabora uvaženi zastupniče stazić ,poštovani predsjedniče sabora uvaženi zastupniče stazić,poštovani predsjedniče sabora uvaženi zastupničeststazić,poštovani predsjedniče sabora uvaženi zastupniče stazić
/home/peterr/macocu/task6_speech/data/00020280.flac.wav,točno je da je sustav socijalne solidarnosti u rasulu ,točno je da je sustav socijalne solidarnosti u ras,točno je da je sustav socijalne solidarnosti u rasunu,točno je da je sustav socijalne solidarnosti u rasunu
/home/peterr/macocu/task6_speech/data/00020281.flac.wav,to je jasno i to je godinama da ne kažemo od onoga što ste spomenuli ,to je jasno i to je godinama da ne kažemo od onoga što ste spomenuli,to je jasno i to je godinama da ne kažemo od onoga što ste spomenuli,to je jasno i to je godinama da ne kažemo od onoga što ste spomenuli
/home/peterr/macocu/task6_speech/data/00020282.flac.wav,to ne služi nikome na čast ,ne suži nikou me na čast,nn služi nikomena čast,pakču ne služi nikome na čast
/home/peterr/macocu/task6_speech/data/00020283a.flac.wav,privatizacija koja se dogodila i gdje su mnogi i ono što ste rekli koji su se vratili iz,raitizacija koja se je dogodila i  gdje su mnogi i ono što ste rekli koji su se vratili,tiacija koja seje dogodila i gdje su mnogi i ono što ste rekli koji su se vratili izrat,ii imatizacija koja se dogodila i gdje su mnogi ono što ste rekli koji su se vratili
/home/peterr/macocu/task6_speech/data/00020283b.flac.wav,ostali bez posla i to je negativno što se odrazilo na sustav solidarnosti,ostali bez posla i to je negativno što se odrazilo na sustav solidarnosti,ona ostalim bez posla i to je negativno što se odrazilo na sustav solidarnosti,ostali bez posla i to je negativno što se odrazilo na sustav solidarnosti
/home/peterr/macocu/task6_speech/data/00020284a.flac.wav,ali mislim da bi trebalo spomenuti i to da dvije tisuće do dvije tisuće tri godine privatizaciju pustimo,ali mislim da bi trebalo spomenuti to da dvije tisućte do dvije tisuće treć godine primatizacijupustimo,ali mislim da bi trebalo spomenuti i to da dvije tisućee do dvija tisućei treće godine primati zaciju upustimo,ali mislim da bi trebalo spomenuti i to da dvije tisuće do dvije tisuće tri godine primatizaciju pustimo
/home/peterr/macocu/task6_speech/data/00020284b.flac.wav,po strani ali tada se dogodila velika to vrijeme je obilježeno stečajevima,na po strani ali  tada se dogodila velika to vrijeme je obliježenom stečajevima,na tpo strani ali tada see dogodila velika to vrijeme je oblježeno stečajjevima,na pos strani ali tada se dogodila velika to vrijeme je obilježeno stečajevima
/home/peterr/macocu/task6_speech/data/00020284c.flac.wav,i tada je sustav solidarnosti najviše pao preko tristo tisuća nezaposlenih,i tada je sustav solidarnosti naviše pa preko tristo tisuća nezaposlenih,i tada je sustav solidarnosti najviše pau preko tristo tisuća nezaposlenih,i tada je sustav solidarnosti najviše pao preko tristo tisuća nezaposlenih
/home/peterr/macocu/task6_speech/data/00020285.flac.wav,dakle da li tu ima onih koji su bolji i pošteniji ,da li tu ima onih koji su bolji pošteniji,dakle da li tu ima onih koji su bolje ipošteniji,dakle da li tu ima onih koji su bolji i pošteniji
/home/peterr/macocu/task6_speech/data/00020286.flac.wav,svi zajedno smo odgovorni za ovo što se dogodilo ,svi zajedno smo odgovorini za ovo što se dogodilo,svi zajedno smo odgovorni za ovo što seje dogodilo,svi zajedno smo odgovorni za ovo što se dogodilo
/home/peterr/macocu/task6_speech/data/00020287.flac.wav,hvala zastupniku kirinu ,hvala zastupniku kirinu,hvala zastupniku kirinu,hvala zastupniku kirinu
/home/peterr/macocu/task6_speech/data/00020288.flac.wav,odgovor na repliku zastupnik stazić ,odgo na repliku zastupnik stazić,odgovor na epliku zastupnik stazić,odgovor na repliku zastupnik stazić
/home/peterr/macocu/task6_speech/data/00020289.flac.wav,čega su oni posljedica ,čega su oni posljedice,čega su oni posljedice,čega su oni posljedica
/home/peterr/macocu/task6_speech/data/00020290.flac.wav,oni su posljedica potpuno upropaštenih privrednih subjekata ,oni su posljedica potpuno u propaštenih privednih subjekata,oni su posljedica potpuno upropaštenih priveldnih subjekata,oni su posljedica potpuno u propaštenih privelednih subjekata
/home/peterr/macocu/task6_speech/data/00020291.flac.wav,tamo su bili radnici koji su radili mjesecima a da nisu dobili nijednu plaću ,nano su bili radnici koji su radili mjesecima a da nisu dobili ni jednu plaću,n su bili radnici koji su radili mjesecima a da nisu dobili ni jednu plaću,ošno su bili radnici koji su radili mjesecima a da nisu dobili i jednu plaću
/home/peterr/macocu/task6_speech/data/00020292.flac.wav,a znate tko to radi a da ne dobiva nadnicu ,a zate tko to radi a da ne dobija nadnicu,a zate tko to radi a da ne dobija nadnicu,a znate tko to radi a da ne dobija nadnicu
/home/peterr/macocu/task6_speech/data/00020293.flac.wav,stečajevima oni su dobili bar neka socijalna prava ,srećajevima oni su dobili ba neka socijalna prava,slitajevima oni su dobili bar neka sosijalna prava,slučajevima oni su dobili bar neka socijalna prava
/home/peterr/macocu/task6_speech/data/00020294.flac.wav,bez stečaja oni su formalno bili zaposleni bez ikakvih prihoda čak i bez prava na socijalnu pomoć ,eiz stečaja oni su formalno bili zaposleni bez ikakvih prihoda čak ji bez prava na socijalnu pomoću,bestečaja oni su ormalno bili zaposleni bez ikakvih prihoda čak i bez prava na sosijalnu pomoću,bez stečaja oni su formalno bili zaposleni bez ikakvih prihoda čak i bez prava na socijalnu pomoć
/home/peterr/macocu/task6_speech/data/00020295a.flac.wav,stečajevima koji su bili nužni i koji su bili posljedica hadezeovske kriminalne privatizacije kriminalne,strečajevima koji su bili nužni i koji su bili posljedica hadezeovske kriminalne privatizacije kriminalne,stečajevima koji su bili nužni i koji su bili posljedica hadezeovske kriminalne privatizacije kriminalne,stečajevima koji su bili nužni i koji su bili posljedica hadezeovske kriminalne privatizacije kriminalne
/home/peterr/macocu/task6_speech/data/00020295b.flac.wav,lopovske su ti nesretni ljudi barem zaštićeni,lopovske su ti nesretni ljudi barem zaštićeni,lopovske su ti nesretni ljudi barem zaštićeni,lopovske su ti nesretni ljudi barem zaštićeni
/home/peterr/macocu/task6_speech/data/00020296.flac.wav,stečajevi su bili priznanje države da ta privatizacija nije uspjela i da je bila pljačkaška ,trećajevi su bili priznanje države da ta privatizacija nije uspjela i da je bila pljačkačka,seaje bi su bilo bili priznanje države da ta privatizacija nije uspjela i da je bila pjatkatka,strećaevi su bili priznanje države da ta privatizacija nije uspjela i da je bila pljačkaška
/home/peterr/macocu/task6_speech/data/00020297a.flac.wav,neki su se debelo okoristili u toj privatizaciji dok su drugi pa i branitelji ratovali,neteki su se debelo koristili u toj privatizaciji dok su drugi pa i branitelji je ratovali,neeei e se debelookoristiti u toj privatizaciji dok sto drugi pa i branitelji ratovalit,seki su se debeloo koristili u toj privatizaciji dok su drugi pa i branitelji ratovali
/home/peterr/macocu/task6_speech/data/00020297b.flac.wav,gubili živote i zdravlje ovi nisu išli na frontu ne ne oni su se za to vrijeme bogatili,gubili živote i zdravlje ovi nisu išli na frontu n oni su se za to vrijeme bogatili,gubili živote i zdravlje ovi nisu išli na rontu ne oni su se za to vrijeme bogatiili,gubili živote i zdravlje ovi nisu išli na frontu ne oni su se za to vrijeme bogatili
/home/peterr/macocu/task6_speech/data/00020297c.flac.wav,i upropaštavali ta poduzeća koja su u interesu tih radnika koji nisu dobivali plaću morala poslati u stečaj,i propaštavali ta poduzeća koja su u interesu tih radnika koji  ni su  dobijeli plaću morala poslati u stječav,i upropaštavali ta poduzeća koja suu interesu tih radnika koji nisu dobijali plaću morala poslati ud stećaj,i upropaštavali ta poduzeća koja su  u interesu tih radnika koji nisu odobivjali plaću morala poslati u stečaj
/home/peterr/macocu/task6_speech/data/00020298.flac.wav,sljedeći zastupnik koji se javio za pojedinačno sudjelovanje u raspravi je zastupnik zdravko ronko ,slijedeći zastupnik koji se javilo za pojedinačno u sudjelovanje u raspravi je zastupnik zdravko runko,sljedeći zastupnik koji se javio pojedinačno sudjelovanju u raspravi je zastupnik zdravko ronko,sljedeći zastupnik koji se javio za pojedinačno sudjelovanje u raspravi je zastupnik zdravko ronko
/home/peterr/macocu/task6_speech/data/00020299.flac.wav,hvala lijepo predsjedniče sabora ,hvala lijepo predsjedniče sabora,hvala lijepo predsjedniče sabora,hvala lijepo predsjedniče sabora
