path,sentence,15_/checkpoint-13600,classla/wav2vec2-xls-r-sabor-hr
/home/peterr/macocu/task6_speech/data/00018809a.flac.wav,ja ovu rečenicu ne mogu nikako protumačiti nego,da ovu rečenicu ne mogu nikako drugačije protumačiti n,a u ovu reenicu ne mogu nikako drugačije protumačiti nego
/home/peterr/macocu/task6_speech/data/00018809b.flac.wav,temelj jedne međuresorne suradnje koja je osnova da bi predmetni nop izrastao u jedan kvalitetan,temelj jedne m resorne suradnje koje je osnova da bi predmetni nov i zrastao u jedan kvalitetan,temeli jedne mesu resorne suradnje koj je osnova da bi predmetni nop izrastau jedan kvalitetan
/home/peterr/macocu/task6_speech/data/00018809c.flac.wav,akcijski plan koji će imati konkretne mjere i konkretnu provedbu,plan koji će imati konkretne mjere i konkretnu provedu,vaski plan koji će imati konkretne mjere i konkretnu provetu
/home/peterr/macocu/task6_speech/data/00018810a.flac.wav,isto tako predmetni zakon definira metodologiju izvješćivanja i obavješćivanja a predmetnim je zakonom uređena odnosno stvoren pravni okvir za opskrbu prometa električnom energijom opskrbu prometa vodikom,isto tako predmetni zakon definira metodologiju izvješćivanja i obavješćivanja a predmetnim je zakonom uređena odnosno stvoren pravni okvir za opskrbu prometa električnom energijom opskrbu prometa vodikom,isto tako predmetni zakon deinira metodologiju izvješćivanja i obavjašćivanja a predmetnim je zakonom uredena odnosno stvoren pravni okvir za opskrbu prometa električnom energijom opskrbu prometa vodikom
/home/peterr/macocu/task6_speech/data/00018810b.flac.wav,prirodnim plinom a ono što u konačnici i treba predstavljati jedan ovakav općeniti zakon on stvara pretpostavke za donošenje akcijskog plana,prirodnim plinom a ono što u konačnici i treba predstavljati jedan ovaka općeniti zakon on stvara pretpostavke za donošenje akcijskog plana,prirodnim plinom a ono što u konačnici i treba predstavljati jedan ovakav općeniti zakon on stvara pretpostavke za donošenje akcijskog plana
/home/peterr/macocu/task6_speech/data/00018811a.flac.wav,formiranje nacionalne politike i kada mi danas raspravljamo o tome,formiranja nacionnalne politike i kada mi danas raspravljamo o tome,ormiranje nacionalne politike i kada mi danas raspravljamo o tome
/home/peterr/macocu/task6_speech/data/00018811b.flac.wav,što je glavni uzrok nepostojanja ja bih rekao,što je glavni uzrok nepostojanja ja bih rekao,što je glavni uzrok nepostojanja ja bih rekao
/home/peterr/macocu/task6_speech/data/00018811c.flac.wav,čak i nepopularni poticajnih mjera jer ih,čak i nebobularnih poticajnih mjera jer,čak i ne popularnih poticajnih mjera jer ih
/home/peterr/macocu/task6_speech/data/00018811d.flac.wav,dvije tisuće petnaest dvije tisuće šesnaest pa,dvije tisuće četrnaest petnaest šesnaest pa,dvije tisuće četrnaest petnaest šesnaest pa
/home/peterr/macocu/task6_speech/data/00018811e.flac.wav,spram računa koji još uvijek stižu temeljem objavljenih natječaja iz,s pram računa koji još uvijek stižu temeljem objavljenih natječaja tisa petnaest,spram računa koji još uvijek stižu temeljem objavljenih natječaja i petnaest
/home/peterr/macocu/task6_speech/data/00018811f.flac.wav,godine isplaćujemo ja neću reći direktno iz državnog proračuna,godine isplaćujemo ja neću reći direktno iz državnog proračuna,godine isplaćujemo ja neću reći direktno iz državnog proračuna
/home/peterr/macocu/task6_speech/data/00018811g.flac.wav,ali imajući u vidu da je i proračun fonda za zaštitu okoliša koji je na razini milijarde i osamsto milijuna kuna u dvije tisuće šesnaest godini,ali ali imajući u vidu da je i proračun fonda za zaštitu okoliša koji jedna razini milijarde  osamsto milijuna kuna u dvije tisuće šesnast godini,lali imajući u vidu da je i proračun onda za zaštitu okoliša koji je na razini milijarde i osamsto milijuna kuna u dvije tisuće šesnaest godini
/home/peterr/macocu/task6_speech/data/00018811h.flac.wav,probijen za gotovo petstotinjak milijuna kuna vrlo vam je indikativno vidjeti,probijen za gotovo pet stotnjak milijuna kuna vrlo vam je indikativno vidjeti,probijen za gotovo petstotinjak milijuna kuna vrlo vam je indikativno vidjeti
/home/peterr/macocu/task6_speech/data/00018811i.flac.wav,koji su to natječaji iz dvije tisuće četrnaest i dvije tisuće petnaest godini upravo stvorili deficit,koji su to natječaji iz dvije tisuće četrnaest i dvije tisuće petnaest godine upravo stvorili deficit,koji su to natječaji iz dvije tisućećtrnaest i dvije tisuće petnaest godine upravo stvorili deicit
/home/peterr/macocu/task6_speech/data/00018811j.flac.wav,u proračunu fonda za zaštitu okoliša a čijim je deficitom onda,u proračunu fonda za zaštitu okoliša a čijm je deficitomonda,u proračunu onda za zaštitu okoliša a čim je deicitomonda
/home/peterr/macocu/task6_speech/data/00018811k.flac.wav,uopće bilo eliminirana bilo kakva perspektiva formiranja bilo kakvih poticajnih mjera kakve su se one davale dvije tisuće četrnaest i,uopće bilo eliminirana bilo kakva perspektiva formiranja bilo kakvih poticajnih mjera kakve su se one davale četrnae petnaest godine,nranuopće biloeliminirana bilo kakva perspektiva ormiranja bilo kakvih poticajnih mjera kakve su se one davale  etrnaeste petnaest godine
/home/peterr/macocu/task6_speech/data/00018812a.flac.wav,zaključno klub hadezea podržati će ovaj zakon klub hadezea,zaključno klub hadezea podržati će ovaj zakon klub hadezea,zakljično klub hadezea podržati će ovaj zakon klub hadezea
/home/peterr/macocu/task6_speech/data/00018812b.flac.wav,bez obzira na jedno blago kašnjenje smatra da je predmetni zakonodavni okvir dobar i smatram da,bez obzira na jedno blago kašljenje smatra da je predmetni zakonodavni okvir dobar i smatramda,bez obzira na jedno blagokašljenje smatra da je predmetni zakon odavni okvir dobar i smatram da
/home/peterr/macocu/task6_speech/data/00018812c.flac.wav,kroz definiranje nacionalnih politika ali prvenstveno kroz snimku jednu kvalitetnu snimku zatečenog stanja,kroz definiranje nacionalnih politika ali prvenstveno kroz snimku jednu kvalitetnu stnimku zatečenog stanja,kroz deiniranje nacionalnih politika ali prvenstveno kroz snimku jednu kvalitetnu stimku zatečajnog stanja
/home/peterr/macocu/task6_speech/data/00018813a.flac.wav,kroz predmetni zakon možemo dobiti i pravni okvir da i predmetni provedbeni akti budu,kroz predmetni zakon možemo dobiti i pravni okvir da ji predmetni provedbeni akti budu,kroz predmetni zakon možemo dobiti pravni okvir dai prtpredmetniprovedbeni akti budu
/home/peterr/macocu/task6_speech/data/00018813b.flac.wav,doneseni u prvoj polovici slijedeće godine a već tokom dvije tisuće sedamnaest,doneseni u prdaoj polovici sljedeće godine a već tkom dvije tisuće sedamnaest,doneseni u prvoj polovici sljedeće godine a već tokom dvije tisuće edamnaest
/home/peterr/macocu/task6_speech/data/00018813c.flac.wav,imamo i određene benefite odnosno koristi od predmetnih podzakonskih,imamo i određene benefite odnosno koristi od predmetnih pozakonskih akota,imamo i odredene beneite odnosno koristi od predmetnih podzakonskih aa
/home/peterr/macocu/task6_speech/data/00018814.flac.wav,imamo nekoliko replika ,imamo nekoliko replika,imamo nekoliko replika
/home/peterr/macocu/task6_speech/data/00018815.flac.wav,dakle ja se isto tako sa jednim djelom vašeg izlaganja mogu složiti jer se poklapa sa onim što sam i sam rekao ,dakle ja se isto tako sa jednim dijelom vašeg izlaganja mogu složiti jer se poklapa sa onima što sam i sama rekavo,dakle  ja se isto tako sa jednim dijelom vašeg izlaganja mogu složiti jer se poklapa sa onim što sam i sam rekao
/home/peterr/macocu/task6_speech/data/00018816.flac.wav,no ne mogu se složiti sa time da povijest da hrvatska nema povijesti ,nemogu se složiti sa time da povijest da hrvatska nema povijesti,anemogu se složiti sa time da povijestda hrvatska nema povijesti
/home/peterr/macocu/task6_speech/data/00018817.flac.wav,zapravo da se ništa nije događalo prije nego što je došla vlada hadezea i mosta ,da se ništa nije događao nego što je došla vlada hadezea i moste,a se ništa nije dogaćalo prijenego što je došlo vlada hadeze i mosta
/home/peterr/macocu/task6_speech/data/00018818.flac.wav,dakle stručna podloga za izradu nacionalnog okvira politika izrađena je u zadnjem kvartalu dvije tisuće petnaest godine ,dakle stručna podloga za izradu nacionalnog okvira politika je izrađena u zadnjem kvartalu u dvije tisuće petnaest godine,dakle stručna podloga za izradu nacionalnog okvira politika  izražena u zadnje kvartalu dvije tisuće petnaest godine
/home/peterr/macocu/task6_speech/data/00018819a.flac.wav,cijelu dvije tisuće šesnaest godinu umjesto da su se razradile mjere i razradila zapravo konkretna priča vezano,u stijelo dvije tisuće šešesnaest godinu umjesto da su se razradile mjere i razradila zapravo konkretna priča vezano,ebu dvije tisuće šesnaest godin umjesto da su se razradile mjere i razradila zapravo konkretna priča je vezano
/home/peterr/macocu/task6_speech/data/00018819b.flac.wav,uspostavu ove infrastrukture cijela godina nam je prošla i donijeli smo jedan okvirni zakon i sada očekujemo idućih šest mjeseci,ove infrastrukture cijela godina nam je prošla i donijeli smo jedan okvirni zakon i sada očekuojemm ideći šest mjeseci ćemo,ostavov inrastrukture cijela godina nam je prošla i donijeli smo jedan okvirni zakon i sada očekujmo idući šest mjeseci
/home/peterr/macocu/task6_speech/data/00018819c.flac.wav,dodatno nešto analizirati a zapravo smo to napravili imate to u ladicama ostavljeno vam je u zadnjem kvartalu dvije tisuće,dodatno nešto analizirati da zaprao smo to napravili imate to vladicama ostavljeno vam je zadnj kvartal u dvije tisuće,dodatno nešto analizirati a zapravo smo to napravili imate to u vladicama ostavljenoovamjeu zadnji ortar dvije tisepetn
/home/peterr/macocu/task6_speech/data/00018819d.flac.wav,godine izrađeno od uglednog hrvatskog jednog instituta ministarstvo je naručilo mislim da prometa pomorstva i veza,godine izrađeno od uglanog hrvatskog i jednog instituta ministarstvo na ručiju mislim da promete pomorstvau veza,godino izraueno od uglednog hrvatskog  jednog instituta ministarstvo narlučno mislim da pronaete po morst i vesi
/home/peterr/macocu/task6_speech/data/00018820a.flac.wav,dakle stručne podloge postoje i nije bilo nikakvog razloga da donosimo ovakav jedan okvirni zakon moglo se,dakle stručne podloge postoje i nije bilo nikakvog razloga da donosimo ovakav jedan okvirni zakon mogule sut,dakle stlručne podloge postoje i nije bilo nikakvog razloga da donosimo ovakav jedan okvirni zakon moglo set
/home/peterr/macocu/task6_speech/data/00018820b.flac.wav,to puno konkretnije definirati jer sam siguran da će ovaj zakon doživjeti izmjene kad se krene u konkretnu razradu,puno konkretnije definirati jer sam siguran da će ovaj zakon doživjeti izmjene kada se krene u konkretnu razradu,te puno konkretnije deinirati jer sam siguran da će ovaj zakon doživjeti izmjene kad se krene u konkretnu razradu
/home/peterr/macocu/task6_speech/data/00018820c.flac.wav,i izradu okvira politika a vidjet ćete da će trebati nešto mijenjati i zakonodavni okvir da bi smo opće mogli provesti ovaj zakon,i izradu okvira politika a vidjeti ćete da će trebat nešto mijenjati i kzakonodavni okvir da bismo uopće mogli provesti ovaj zakon,i izradu okvira politika  vidjeti jete da će trebati nešto mijenjati i zzakonodavni okvir da bismo opće mogli provesti ovaj zakon
/home/peterr/macocu/task6_speech/data/00018821a.flac.wav,a što se tiče fonda i poticaja za nabavku električnih i hibridnih vozila na razini godine što je to bilo od petnaest do osamnaest milijuna kuna to nije trebao biti problem u dvije tisuće šesnaest godini da se zadrži kontinuitet,štose tiče fonda i poticaja za nabavku električnih i hibridnih vozila  razini godine što je to bilo od petnaest do osamnaest milijuna kuna to nije trebao biti problem u dvije tisuće šesamst godini da se zadrži kontinuitete,tose tiče onda i poticaja za napaku elektičnih i hiblnih vozila razini godine što je toe bilo od petnaestdo osamnaest milijuna kuna to nije trebao biti problem dvije tisueesanaest godini da se zadrži kontinuitet
/home/peterr/macocu/task6_speech/data/00018821b.flac.wav,a prihodi fonda nisu bili samo iz državnog proračuna iz određenih naknada već iz europskih sredstava pogotovo vezano za ove mjere iz sustava trgovanja emisijskim jedinicama dakle prihod iz europskih sredstava,aa prihodni fonda nisu bili samo iz državnog proračuna z određenih naknada već iz europskih sredstava pogotovo vezano za ove mjere iz sustava trgovanja emisrijskim jedinicama dakle priod prihod iz europskih sredstava,aa prihodi onda nisu bili samo iz državnog proračuna iz odrećenih naknada već iz europskih sredstava pogotovo vezano za ove mjere i sustava trgovanj i misrijskim jedinicama dakle prrprihod iz europskih sredstava
/home/peterr/macocu/task6_speech/data/00018822a.flac.wav,mislim da nije bilo nikakvog razloga da se ne zadrži jedan kontinuitet jer se počelo stvarati tržište paralelno se počela raditi mreža punionica,mislim da nije bilo nikakvog razloga da se ne zadrži jedan kontinuitet jer se počelo ostvarati tržište paralelno se počela raditimređa pu nionica,mislim da nije bilo nikakvog razloga da se ne zadrži jedan kontinuitet jer se počelo stvarati tržište paralelno se poćela raditi mreža pu nionica
/home/peterr/macocu/task6_speech/data/00018822b.flac.wav,isto tako je tržište takvim vozilima bilo poticano i mislim da je to bilo dobro nastaviti i vjerujem da se to hoće nastaviti jer je to interes države,isttako je tržište takvim vozilima bilo poticano i mislim da je to bilo dobro nastaviti i vjerojem da se to hoće nastaviti eu to interes državi,oe tako je tržište takvim vozilima bilo poticeno i mislim daje to bilo dobro nastaviti i vjerojem da se to hoće nastaviti  t interes drava
/home/peterr/macocu/task6_speech/data/00018823.flac.wav,dakle ja bih umjesto odgovora mogao prvo početi sa ispravkom netočnog navoda ,dakle ja bi u mjesto odgovora mogao prvo opočeti sa ispravkom netočnog navoda,dakle ja bih umjesto odgovora mogao prvo početi sa ispravkom netočnog navoda
/home/peterr/macocu/task6_speech/data/00018824.flac.wav,dakle nije sa ove govornice ni jednom rečeno da se nikad ništa nije radilo ili da koalicijska vlada ništa nije radila ,nije s ove govornice ni jednom rečeno da se nikad ništa nije radilo ili da koalicijska vlada ništa nije radila,dai nije s ove govornici ni jednom rečeno da se nikad ništo nije radilo ili da koolicijska vlada ništo nije radila
/home/peterr/macocu/task6_speech/data/00018825.flac.wav,ali sam samo napomenuo činjenicu da je predmetna direktiva na stolove vlade došla u dvije tisuće četrnaest godini ,ja sm samo na pomenulo činjenicu da je predmetna direktiva na stolove vlade došla u dvije tisućće četrnaest godini,jssam  samo napomenuo činjenicu da je predmetna direktiva na stolove vlade došla u dvije tisuće eetrnaest godin
/home/peterr/macocu/task6_speech/data/00018826a.flac.wav,i tu ste u potpunosti u pravu i kolege koji su napravili i ovaj zakon,i tu sste u potpunosti u pravu i kolege koji su napravili i ovaj zakon,i tu su ste u potpunosti u pravu i kolege koji su napravili i ovaj zakon
/home/peterr/macocu/task6_speech/data/00018826b.flac.wav,dakle zakonodavac koji je napravio i ovaj pravni okvir temeljem tih podloga pa reći ću metodologijom,dakle zakonodavac koji je napravio   ovaj pravni okvir temeljem tih podloga pa ređiću metodologijom,dakle zakonodavac koji je napravio i ovaj pravni okvir temeljem tih podluga pa rećiću metodologijom
/home/peterr/macocu/task6_speech/data/00018826c.flac.wav,prihvaćanja onoga što je ostavila prethodna vlada za razliku od nekih stvari i kojima sam osobno svjedočio gdje je netko,prihvaćenja onoga što je ostavila prethodna vlada za razliku od nekihstvarii kojima sam osobno svjedočio gddje je netko t,prihvaćanja onoga što je udstavila prethodna vlada za razliku od nekih stvari jismi kojima sam osobno svjedočio gdje je netko
/home/peterr/macocu/task6_speech/data/00018826d.flac.wav,ili poslije mene ili poslije nas dolazio praznio ormare i sve ono što je bilo do tad napravljeno smatrao potpuno nebitnim,ili poslimene ili posdanas dolazio praz ni ormare i sve ono što je bilo do tada napravljeno smatrao potpuno nebitnim,ili poslijemene ili posldanas dolazio prazli ormare i sve ono što je bilo do tadnapravljeno smatrao potpuno nebitnim
/home/peterr/macocu/task6_speech/data/00018827.flac.wav,dakle da kolege će te podloge uzeti i te će podloge biti iskoristive za izradu provedbenog akta ,dakle da kolege će te podluge uzeti i tećji podluge biti is koristive za izradu provedbenog akta,idakle da kolege će te prodloge uzeti i teči podluge biti iskoristive za izredu provedbenoakta
/home/peterr/macocu/task6_speech/data/00018828a.flac.wav,a kolega zmajlović uzmite gotovo svaki zakon,a kolega zmalović uzmite gotovo svaki zakon,akolega zmajloviću uzmite gotovo svaki zakon
/home/peterr/macocu/task6_speech/data/00018828b.flac.wav,i pokušajte naći u kom zakonu je implementiran akcijski plan u kom zakonu je implementiran bilo koji pravilnik,i pokušate način u kom zakonu je implementiran akcijski plan u kvom zakonu je implementiran bilo koji  pravini,i pokušajte način u kom zakonu je implementiran akcijski plan u kom zakonu je implementiran bilo koj i pravino
/home/peterr/macocu/task6_speech/data/00018829.flac.wav,dakle da na takav način konstruiramo zakone onda ne bi trebale ni odluke ni pravilnici ni akcijski planovi ni jedan ni drugi podzakonski akt ,dakle da na takav način konstruiramo zakone onda ne bi trebale ni odluke ni pravilnici ni akcijski planovi ni ni drugi podzakonski akti,dakle da na takav način konstrujiramo zakone onda ne bi trebale ni odluke ni pravilnici ni akcijski planovi nijni drugi podzakonski akt
/home/peterr/macocu/task6_speech/data/00018830a.flac.wav,zato smatram da je ovo osnova da je ovo pravni okvir unutar kojeg,zato smatram da je ovo osnova da je ovo pravni okvir unutar koje,zato smatram da je ovo osnova da je ovo pravni okvir unutar kojeg
/home/peterr/macocu/task6_speech/data/00018830b.flac.wav,ide priča u razradu provedbenih akata provedbenih mjera,i de priča u razredu provedbenih akata provedbenih mjera,ide priča u razredu provedbenih akata provedbenih mjera
/home/peterr/macocu/task6_speech/data/00018831a.flac.wav,i slažem sa vama u potpunosti jedan veliki dio onih tehničkih specifikacija koje nam je europa jednostavno dala ili servirala,i slažem se sa vama u potpunosti jedan veliki dio onih tehničkih specifikacija koja nam je europa jednostavno dala ili servirala,i slažem se s vama u potpunosti jedan veliki dio onih tehničkih specivikacija koja nam je europa jednostavno dala ili servirala
